Unnamed: 0.1,Unnamed: 0,vid,video_path,en_srt,zh_srt,age,gender,interests,level,备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,zhihu_url
24,26.0,27,Video_Finished\27\27_CE.mp4,Video_Finished\27\27_English.srt,Video_Finished\27\27_Chinese.srt,"prek, k12, adult","male, female","Food, Humor",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835190473339310081
25,27.0,28,Video_Finished\28\28_CE.mp4,Video_Finished\28\28_English.srt,Video_Finished\28\28_Chinese.srt,"k12, adult","male, female","Comedy, Humor",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835192115417714689
26,28.0,29,Video_Finished\29\29_CE.mp4,Video_Finished\29\29_English.srt,Video_Finished\29\29_Chinese.srt,"prek, k12, adult","male, female",Music,A1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835192589906739200
27,29.0,30,Video_Finished\30\30_CE.mp4,Video_Finished\30\30_English.srt,Video_Finished\30\30_Chinese.srt,"prek, k12, adult","male, female","Comedy, Pets",A2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835193090429825024
28,30.0,31,Video_Finished\31\31_CE.mp4,Video_Finished\31\31_English.srt,Video_Finished\31\31_Chinese.srt,"prek, k12, adult",male,"Entertainment, Movies & TV",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835193603888123904
29,31.0,32,Video_Finished\32\32_CE.mp4,Video_Finished\32\32_English.srt,Video_Finished\32\32_Chinese.srt,"prek, k12, adult","male, female","Art, Entertainment",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835194172451192834
30,32.0,33,Video_Finished\33\33_CE.mp4,Video_Finished\33\33_English.srt,Video_Finished\33\33_Chinese.srt,adult,"male, female",News & Politics,B2,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835194727064018948
31,33.0,34,Video_Finished\34\34_CE.mp4,Video_Finished\34\34_English.srt,Video_Finished\34\34_Chinese.srt,"k12, adult",male,"Entertainment, Sports",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835195301943726081
32,34.0,35,Video_Finished\35\35_CE.mp4,Video_Finished\35\35_English.srt,Video_Finished\35\35_Chinese.srt,adult,male,"News & Politics, Technology",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835195758174941184
33,35.0,36,Video_Finished\36\36_CE.mp4,Video_Finished\36\36_English.srt,Video_Finished\36\36_Chinese.srt,"prek, k12, adult","male, female","Entertainment, Travel, News & Politics",B1,,,,,,,,,,,,,,https://lens.zhihu.com/api/v4/videos/1835196223646228480
